Date,IC_acct_subj,IC_acct_pol,defi_subj,defi_pol,blockchan_subj,blockchain_pol,crypto_subj,crypto_pol,avg_3k_subj,avg_3k_pol,DPI_subj,DPI_pol
24-12-21,0,0,0.250202723,0.100660844,0.320392703,0.076797661,0.287752062,0.069562807,0.286115829,0.082340437,0.25105364,0.005579502
25-12-21,0.25,0,0.219086372,-0.002832031,0.26409632,0.020670996,0.309020004,0.138493561,0.264067565,0.052110842,0.303333333,0.06
26-12-21,0,0,0.119976894,0.012673297,0.404385965,0.125877193,0.340340416,0.126207864,0.288234425,0.088252785,0.383333333,0.016666667
27-12-21,0,0,0.132047713,0.020274106,0.288324421,0.067052882,0.359406203,0.138038582,0.259926112,0.075121857,0.435714286,0.066402116
28-12-21,0.113636364,0.034090909,0.13519243,0.073879914,0.403567899,0.047260846,0.366258297,0.11687987,0.301672875,0.07934021,0.340909091,0.196022727
29-12-21,0.125,-0.125,0.149069579,0.017625982,0.280712295,0.096752003,0.334832101,0.041356872,0.254871325,0.051911619,0.3125,0.03125
30-12-21,0,0,0.151793993,0.090207663,0.27443321,0.047548547,0.343566703,0.080094336,0.256597968,0.072616849,0.395366522,0.030217893
31-12-21,0.247222222,0.108585859,0.151793993,0.090207663,0.27443321,0.047548547,0.343566703,0.080094336,0.256597968,0.072616849,0.395366522,0.030217893
01-01-22,0.247222222,0.108585859,0.126576994,0.034809833,0.278341984,0.054565443,0.365902889,0.084798629,0.256940622,0.058057968,0.242253521,-0.005633803
02-01-22,0.636363636,0.357575758,0.146587302,0.058946609,0.385815385,0.043254414,0.363722078,0.13190947,0.298708255,0.078036831,0.37283264,0.100633536
03-01-22,0.372727273,0.164646465,0.233337392,0.075866284,0.28934197,0.0430852,0.252896585,0.092344372,0.258525316,0.070431952,0.352932099,0.04880752
04-01-22,0.231060606,0.068181818,0.296757524,0.115896752,0.310875156,0.035744668,0.35171268,0.08177188,0.319781787,0.077804433,0.268315902,0.026468222
05-01-22,0.262436869,0.161647727,0.258216962,0.111196353,0.225614861,0.031714595,0.287587924,0.121408748,0.257139916,0.088106565,0.288069888,0.090519383
06-01-22,0.29375,0.138888889,0.241580409,0.069521104,0.352785876,0.046739013,0.343117027,0.122864286,0.312494437,0.079708134,0.344007237,0.148865521
07-01-22,0.071428571,0.047619048,0.28347111,0.058196089,0.354909388,0.132796346,0.40182987,0.050892902,0.346736789,0.080628446,0.373056441,0.125321631
08-01-22,0,0,0.367913851,0.069093109,0.318771093,0.054105846,0.310420563,0.118555411,0.332368502,0.080584789,0.290020263,0.00597771
09-01-22,0.049206349,0.058730159,0.342228904,0.092060466,0.377139137,0.112475706,0.336510732,0.075069066,0.351959591,0.093201746,0.230216802,0.020731707
10-01-22,0.6,0.1,0.251434699,0.020611778,0.284273365,0.122845636,0.29375101,0.098736003,0.276486358,0.080731139,0.31918239,-0.047684391
